Sr.,term,relevant,retrieved_our,True Positive (TP),False Positive (FP),False Negative (FN),Precision,Recall,time
188,Alveolar Bone Loss,75,75,67,0,8,0.893333333,0.807228916,1
189,basic helix-loop-helix family member e41,49,49,43,0,6,0.87755102,0.781818182,1
190,Reperfusion Injury,470,470,395,0,75,0.840425532,0.724770642,1
191,Chronic rejection of renal transplant,57,57,55,0,2,0.964912281,0.93220339,1
192,phosphodiesterase 7B,12,24,12,12,0,0.5,1,0
193,microtubule associated protein tau,2277,2277,2000,0,277,0.878348704,0.783085356,3
194,syntaxin 1A,92,175,92,83,0,0.525714286,1,3
195,Sinus Node Dysfunction (disorder),29,29,28,0,1,0.965517241,0.933333333,1
196,ubiquitin specific peptidase 9 X-linked,40,40,33,0,7,0.825,0.70212766,1
197,HAND DERMATITIS,12,12,12,0,0,1,1,0
198,NEDD4 like E3 ubiquitin protein ligase,62,62,62,0,0,1,1,1
199,Alstrom Syndrome,41,957,41,916,0,0.042842215,1,2
200,Mixed Oligodendroglioma-Astrocytoma,32,32,29,0,3,0.90625,0.828571429,1
201,Reticular dysgenesis,11,11,8,0,3,0.727272727,0.571428571,1
202,Irritable Bowel Syndrome,345,345,300,0,45,0.869565217,0.769230769,1
203,lysosomal associated membrane protein 3,84,84,76,0,8,0.904761905,0.826086957,1
204,protein phosphatase 1 regulatory subunit 12C,19,648,19,629,0,0.029320988,1,6
205,SLIT-ROBO Rho GTPase activating protein 2,18,36,18,18,0,0.5,1,0
206,child abuse behavior,25,25,22,0,3,0.88,0.785714286,1
207,MYELODYSPLASTIC SYNDROME,925,1240,925,315,0,0.745967742,1,2
208,"Granular Dystrophy, Corneal",20,20,17,0,3,0.85,0.739130435,1
209,Hand foot uterus syndrome,25,25,21,0,4,0.84,0.724137931,1
210,Autosomal Dominant Parkinsonism,26,26,19,0,7,0.730769231,0.575757576,0
211,Congenital infectious disease,12,12,11,0,1,0.916666667,0.846153846,1
212,Kruppel-like factor 5,30,163,30,133,0,0.18404908,1,3
213,Adenomatous Polyps,129,129,99,0,30,0.76744186,0.622641509,1
214,transition protein 1,12,24,12,12,0,0.5,1,1
215,Tardive Dyskinesia,234,234,221,0,13,0.944444444,0.894736842,1
216,cysteine rich with EGF like domains 1,36,36,32,0,4,0.888888889,0.8,1
217,Romano-Ward Syndrome,85,85,79,0,6,0.929411765,0.868131868,0
218,Cocaine-Related Disorders,259,259,211,0,48,0.814671815,0.687296417,1
219,TAK1 complex [cytosol],14,14,12,0,2,0.857142857,0.75,1
220,Shprintzen syndrome,224,224,200,0,24,0.892857143,0.806451613,1
221,gap junction protein alpha 4,106,106,99,0,7,0.933962264,0.876106195,1
222,TGF-beta activated kinase 1 (MAP3K7) binding protein 2,22,22,22,0,0,1,1,0
223,ADAM metallopeptidase with thrombospondin type 1 motif 5,60,60,54,0,6,0.9,0.818181818,0
224,Solute carrier family 22 member 17,14,426,14,412,0,0.03286385,1,1
225,Sudden infant death syndrome,286,286,231,0,55,0.807692308,0.677419355,1
226,Hepatosplenic T-Cell Lymphoma,11,11,11,0,0,1,1,0
227,Alcohol abuse,221,221,200,0,21,0.904977376,0.826446281,1
228,actin filament associated protein 1 like 2,11,11,7,0,4,0.636363636,0.466666667,1
229,ankyrin 3,124,248,124,124,0,0.5,1,1
230,Neurofibromatosis-Noonan syndrome,23,23,21,0,2,0.913043478,0.84,1
231,myosin XVIIIB,27,54,27,27,0,0.5,1,1
232,Intestinal Pseudo-Obstruction,21,21,19,0,2,0.904761905,0.826086957,1
233,MAPKs [cytosol],18,18,17,0,1,0.944444444,0.894736842,0
234,"Aplastic anemia, idiopathic",12,12,7,0,5,0.583333333,0.411764706,1
235,PTEN Hamartoma Tumor Syndrome,30,31,28,1,2,0.903225806,0.875,1
236,Neurotoxicity Syndromes,42,42,39,0,3,0.928571429,0.866666667,1
237,dynein axonemal heavy chain 8,772,772,700,0,72,0.906735751,0.829383886,2
238,Ichthyosis Bullosa of Siemens,186,186,122,0,64,0.655913978,0.488,1
239,contactin 6,19,38,19,19,0,0.5,1,3
240,Swyer Syndrome,26,26,26,0,0,1,1,0
241,Hyperimmunoglobulin M syndrome,96,96,80,0,16,0.833333333,0.714285714,1
242,"stage, non-small cell lung cancer",75,75,72,0,3,0.96,0.923076923,1
243,Ichthyosis Vulgaris,81,81,78,0,3,0.962962963,0.928571429,1
244,Pfaundler-Hurler Syndrome,71,71,65,0,6,0.915492958,0.844155844,1
245,neurobeachin like 2,24,24,22,0,2,0.916666667,0.846153846,1
246,oxidative stress responsive serine rich 1,15,15,10,0,5,0.666666667,0.5,1
247,"POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE",14,14,13,0,1,0.928571429,0.866666667,0
248,aldo-keto reductase family 1 member B10,115,476,115,361,0,0.241596639,1,1
249,"Plaque, Amyloid",639,639,600,0,39,0.938967136,0.884955752,1
250,myosin VIIA,207,426,207,219,0,0.485915493,1,3
251,Cystic Kidney Diseases,50,50,48,0,2,0.96,0.923076923,1
252,Van Buchem disease,23,26,23,3,0,0.884615385,1,1
253,Mood Disorders,831,831,800,0,31,0.962695548,0.928074246,1
254,"Carcinoma, Spindle-Cell",30,30,27,0,3,0.9,0.818181818,0
255,Pediatric Obesity,96,96,87,0,9,0.90625,0.828571429,0
256,Protein disulfide-isomerase,11,4350,11,4339,0,0.002528736,1,15
257,ectodysplasin A receptor,62,124,62,62,0,0.5,1,3
258,Respiratory distress,57,635,57,578,0,0.08976378,1,5
259,21-hydroxylase deficiency,248,248,221,0,27,0.891129032,0.803636364,1
260,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,59,59,43,0,16,0.728813559,0.573333333,0
261,Liver Cirrhosis,1933,2460,1933,527,0,0.785772358,1,3
262,Non-Functioning Pituitary Gland Neoplasm,12,12,5,0,7,0.416666667,0.263157895,0
263,Oropharyngeal Neoplasms,27,27,25,0,2,0.925925926,0.862068966,0
264,Partial Trisomy,61,61,57,0,4,0.93442623,0.876923077,0
265,interleukin 12 receptor subunit beta 1,115,115,100,0,15,0.869565217,0.769230769,1
266,serine/threonine kinase 3,18,231,18,213,0,0.077922078,1,3
267,Hypokalemic alkalosis,12,12,11,0,1,0.916666667,0.846153846,1
268,"glucosidase alpha, acid",479,479,400,0,79,0.835073069,0.716845878,1
269,cervical cancer squamous cell,18,18,15,0,3,0.833333333,0.714285714,1
270,Action Myoclonus-Renal Failure Syndrome,13,13,11,0,2,0.846153846,0.733333333,0
271,CCAAT enhancer binding protein delta,79,79,63,0,16,0.797468354,0.663157895,1
272,protein tyrosine phosphatase receptor type K,23,23,22,0,1,0.956521739,0.916666667,1
273,"LACTOSE INTOLERANCE, ADULT TYPE",29,29,25,0,4,0.862068966,0.757575758,1
274,Split hand foot deformity 1,112,112,98,0,14,0.875,0.777777778,1
275,vitamin K epoxide reductase complex subunit 1,203,946,203,743,0,0.214587738,1,8
276,insulin like growth factor 2 mRNA binding protein 3,88,88,80,0,8,0.909090909,0.833333333,1
277,Hypoplasia of corpus callosum,14,14,14,0,0,1,1,0
278,Type I Mucolipidosis,58,58,53,0,5,0.913793103,0.841269841,0
279,myelin protein zero like 1,13,13,13,0,0,1,1,1
280,Jervell-Lange Nielsen Syndrome,75,75,71,0,4,0.946666667,0.898734177,1
281,glycoprotein IX platelet,86,86,79,0,7,0.918604651,0.849462366,1
282,Colonic Polyps,109,109,91,0,18,0.834862385,0.716535433,1
283,Lytic lesion,23,23,19,0,4,0.826086957,0.703703704,1
284,"Hemorrhagic Fever, Ebola",31,31,29,0,2,0.935483871,0.878787879,1
285,Ovarian Clear Cell Adenocarcinoma,28,28,21,0,7,0.75,0.6,1
286,Benign Meningioma,27,27,26,0,1,0.962962963,0.928571429,1
287,Xenograft Model,887,887,800,0,87,0.901916573,0.821355236,1
288,R-spondin 2,13,26,13,13,0,0.5,1,1
289,Ovarian Hyperstimulation Syndrome,104,104,96,0,8,0.923076923,0.857142857,1
290,solute carrier family 38 member 1,694,695,680,1,14,0.978417266,0.960451977,2
291,beclin 1,304,916,304,612,0,0.331877729,1,3
292,Hairy Cell Leukemia,251,256,251,5,0,0.98046875,1,1
293,codanin 1,47,94,47,47,0,0.5,1,8
294,Glycogen Storage Disease Type VII,26,29,22,3,4,0.75862069,0.733333333,0
295,"Chromosome 10, monosomy 10q",15,15,15,0,0,1,1,1
296,"Tuberculosis, Pulmonary",851,851,833,0,18,0.978848414,0.958573072,1
297,succinic semialdehyde,12,31,12,19,0,0.387096774,1,1
298,Meningococcal meningitis,24,24,22,0,2,0.916666667,0.846153846,0
299,calcium/calmodulin dependent protein kinase II alpha,22,22,20,0,2,0.909090909,0.833333333,1
300,"Myoclonic Epilepsy, Juvenile",160,162,156,2,4,0.962962963,0.951219512,1
301,ANOPHTHALMIA AND PULMONARY HYPOPLASIA,13,13,11,0,2,0.846153846,0.733333333,1
302,Tumor Expansion,26,26,21,0,5,0.807692308,0.677419355,0
303,angiopoietin like 2,75,75,69,0,6,0.92,0.851851852,1
304,DDB1 and CUL4 associated factor 6,29,58,29,29,0,0.5,1,3
305,Brain Neoplasms,1614,1614,1434,0,180,0.888475836,0.799331104,3
306,Ventricular Dysfunction,19,110,19,91,0,0.172727273,1,0
307,vesicle associated membrane protein 3,11,11,11,0,0,1,1,1
308,Mature Teratoma,13,13,13,0,0,1,1,1
309,chronic urticaria,25,25,22,0,3,0.88,0.785714286,0
310,Primary Carcinoma,64,64,60,0,4,0.9375,0.882352941,1
311,Uterine Corpus Sarcoma,20,20,19,0,1,0.95,0.904761905,1
312,Kruppel like factor 5,133,133,122,0,11,0.917293233,0.847222222,1
313,protein tyrosine phosphatase receptor type A,93,93,87,0,6,0.935483871,0.878787879,0
314,Immune thrombocytopenic purpura,255,255,232,0,23,0.909803922,0.834532374,1
315,nescient helix-loop-helix 1,63,63,57,0,6,0.904761905,0.826086957,0
316,Animal Mammary Neoplasms,405,405,399,0,6,0.985185185,0.97080292,1
317,"LEBER CONGENITAL AMAUROSIS, TYPE II (disorder)",15,15,13,0,2,0.866666667,0.764705882,0
318,"Liposarcoma, Dedifferentiated",80,80,73,0,7,0.9125,0.83908046,1
319,"Obesity, Abdominal",175,175,166,0,9,0.948571429,0.902173913,1
320,"Eye Diseases, Hereditary",11,11,9,0,2,0.818181818,0.692307692,0
321,"Epilepsy, Myoclonic, Infantile",12,12,12,0,0,1,1,1
322,CCAAT enhancer binding protein zeta,54,54,47,0,7,0.87037037,0.770491803,1
323,Neuroblastic Tumor,13,13,11,0,2,0.846153846,0.733333333,1
324,Adenocarcinoma of colon,367,367,345,0,22,0.940054496,0.88688946,1
325,Parathyroid Gland Adenocarcinoma,117,117,110,0,7,0.94017094,0.887096774,0
326,Apolipoprotein E,8737,17836,8737,9099,0,0.489851985,1,24
327,"BH3-like motif containing, cell death inducer",11,22,11,11,0,0.5,1,0
328,"Spastic paraplegia 4, autosomal dominant",31,31,29,0,2,0.935483871,0.878787879,1
329,sarcoglycan gamma,334,334,300,0,34,0.898203593,0.815217391,2
330,Bardet-Biedl syndrome 4,44,497,44,453,0,0.088531187,1,5
331,cyclin dependent kinase 2 associated protein 2,53,53,43,0,10,0.811320755,0.682539683,0
332,protein kinase C eta,70,522,70,452,0,0.134099617,1,15
333,Hypopigmentation disorder,110,110,96,0,14,0.872727273,0.774193548,1
334,"THYROID HORMONE RESISTANCE, GENERALIZED, AUTOSOMAL DOMINANT",23,23,22,0,1,0.956521739,0.916666667,0
335,CHROMOSOME 8p11 MYELOPROLIFERATIVE SYNDROME,15,15,13,0,2,0.866666667,0.764705882,1
336,"Sarcoma, Epithelioid",48,48,45,0,3,0.9375,0.882352941,1
337,metastatic osteosarcoma,26,26,26,0,0,1,1,1
338,"Hyperoxaluria, Primary",27,31,27,4,0,0.870967742,1,1
339,cyclin A2,145,290,145,145,0,0.5,1,3
340,Endemic Cretinism,272,272,254,0,18,0.933823529,0.875862069,0
341,Vulval intraepithelial neoplasia,51,51,49,0,2,0.960784314,0.924528302,1
342,Craniofrontonasal dysplasia,31,31,31,0,0,1,1,0
343,"Muscular Atrophy, Spinal, Type II",16,16,16,0,0,1,1,0
344,G protein-coupled receptor 55,20,40,20,20,0,0.5,1,1
345,follistatin like 1,56,56,45,0,11,0.803571429,0.671641791,1
346,Complete Hearing Loss,48,48,43,0,5,0.895833333,0.811320755,1
347,G protein-coupled receptor 35,11,22,11,11,0,0.5,1,0
348,"Nephrogenic Diabetes Insipidus, Type I",184,201,184,17,0,0.915422886,1,1
349,orbit (eye disorders),29,29,27,0,2,0.931034483,0.870967742,0
350,COPPER-OVERLOAD CIRRHOSIS,11,11,11,0,0,1,1,1
351,coenzyme A,472,542,472,70,0,0.870848708,1,1
352,AIDS-Related Opportunistic Infections,18,18,15,0,3,0.833333333,0.714285714,0
353,microRNA 146a,549,1098,549,549,0,0.5,1,8
354,Paroxysmal nocturnal hemoglobinuria,341,341,321,0,20,0.941348974,0.889196676,1
355,Tongue Neoplasms,46,46,44,0,2,0.956521739,0.916666667,1
356,"ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 1",81,81,76,0,5,0.938271605,0.88372093,0
357,Stage 4S neuroblastoma,48,48,43,0,5,0.895833333,0.811320755,1
358,ISG15 ubiquitin like modifier,101,101,91,0,10,0.900990099,0.81981982,1
359,Gingival Hemorrhage,12,12,12,0,0,1,1,0
360,advanced glycosylation end-product specific receptor,407,407,380,0,27,0.933660934,0.875576037,2
361,Exonuclease 1,80,968,80,888,0,0.082644628,1,2
362,class II major histocompatibility complex transactivator,154,154,121,0,33,0.785714286,0.647058824,1
